TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
RDOR3,30.14,4.49,42.87,4.46,1.17,22.42,17.1,6.72,16.84,20.97,4.13,1.09,2.88,4.32,-1.97,3.07,10.4,2.74,8.15,0.26,0.71,0.41,0.0,0.0,154951107.06,6.76,0.7,0.41,60592466051.7
RECV3,24.9,0.66,12.31,3.49,1.44,43.36,37.3,39.49,13.04,12.87,-0.16,-0.04,4.86,-27.07,-1.88,0.81,28.37,11.72,13.59,0.41,0.59,0.3,0.0,0.0,39689891.35,7.13,2.02,0.0,7285244191.2
RENT3,50.4,1.5,18.39,4.76,1.43,45.36,32.06,19.22,11.02,13.37,2.35,1.01,3.53,10.4,-2.03,1.87,25.87,7.78,11.88,0.3,0.7,0.4,19.68,38.41,354504914.97,10.6,2.74,0.31,38226720168.0
RNEW4,1.52,0.0,-30.84,-0.23,0.08,5.64,298.74,-5.26,0.54,3.96,3.38,0.0,1.62,-1.69,-0.1,0.85,-0.75,-0.24,58.9,-0.33,1.33,0.05,-27.95,0.0,575142.82,-6.59,-0.05,0.28,176627810.77
ROMI3,12.42,7.87,4.27,0.96,0.47,31.59,14.85,14.76,4.24,6.22,1.98,0.45,0.63,1.56,-1.17,2.03,22.5,11.1,13.28,0.49,0.51,0.75,18.71,0.0,5403193.47,12.94,2.91,0.11,910807311.24
RRRP3,36.75,0.0,-29.9,1.96,1.42,57.2,50.77,-25.67,15.11,11.94,-3.17,-0.41,7.67,6.25,-2.26,2.62,-6.55,-4.76,12.32,0.73,0.27,0.19,0.0,0.0,153370415.85,18.76,-1.23,3.14,7445295616.5
RSID3,1.9,0.0,-0.13,-0.05,0.04,-196.81,-1641.88,-1303.6,-0.1,-1.65,-1.55,0.0,1.66,-0.04,-0.08,0.31,-36.36,-32.83,177.44,-0.9,1.9,0.03,-35.64,0.0,728058.35,-41.13,-14.96,0.0,38000000.0
SANB11,30.0,10.14,7.63,1.06,0.12,34.3,22.14,14.81,5.1,5.1,0.0,0.0,1.13,0.0,-0.12,0.0,13.91,1.55,0.0,0.11,0.89,0.1,0.22,14.98,82025514.35,28.27,3.93,2.12,112477965765.0
SANB3,14.4,10.06,7.32,1.02,0.11,34.3,22.14,14.81,4.9,5.1,0.0,0.0,1.08,0.0,-0.12,0.0,13.91,1.55,0.0,0.11,0.89,0.1,0.22,14.98,996400.26,14.13,1.97,2.04,112477965765.0
SANB4,15.9,10.02,8.09,1.13,0.13,34.3,22.14,14.81,5.41,5.1,0.0,0.0,1.2,0.0,-0.13,0.0,13.91,1.55,0.0,0.11,0.89,0.1,0.22,14.98,1331468.79,14.13,1.97,2.25,112477965765.0
SAPR11,18.83,6.11,4.65,0.7,0.36,59.89,36.04,22.71,2.93,4.55,1.62,0.39,1.06,4.29,-0.44,1.94,15.07,7.83,11.65,0.52,0.48,0.34,8.4,14.3,24315292.5,26.86,4.05,0.19,5691199984.55
SAPR3,3.67,5.81,4.53,0.68,0.35,59.89,36.04,22.71,2.86,4.55,1.62,0.39,1.03,4.19,-0.43,1.94,15.07,7.83,11.65,0.52,0.48,0.34,8.4,14.3,887367.94,5.37,0.81,0.19,5691199984.55
SAPR4,3.82,6.14,4.72,0.71,0.37,59.89,36.04,22.71,2.97,4.55,1.62,0.39,1.07,4.36,-0.45,1.94,15.07,7.83,11.65,0.52,0.48,0.34,8.4,14.3,7177979.76,5.37,0.81,0.2,5691199984.55
SBFG3,20.72,0.57,9.13,2.38,0.71,46.52,9.48,9.78,9.41,12.95,3.54,0.89,0.89,3.32,-1.38,1.8,26.09,7.83,7.24,0.3,0.7,0.8,22.57,0.0,26415510.26,8.7,2.27,-0.02,5034919015.84
SBSP3,41.13,2.29,10.1,1.09,0.52,34.63,20.96,14.15,6.81,10.26,3.45,0.55,1.43,15.75,-0.6,1.34,10.75,5.15,6.93,0.48,0.52,0.36,6.69,-1.13,175214222.35,37.9,4.07,0.33,28112760911.97
